字符	一简86	一86全码	字符	二简86	二86全码	字符	一简98	一98全码	字符	二简98	二98全码
工	a	aaaa	式	aa	aad	工	a	aaaa	式	aa	aayi
其	a	adwu	戒	aa	aak	东	a	aii	藏	aa	aauh
东	a	aii	芽	aa	aaht	世	a	anv	戒	aa	aak
了	b	bnh	节	ab	abj	了	b	bnh	节	ab	abj
子	b	bbbb	萨	ab	abut	子	b	bbbb	萨	ab	abut
也	b	bnhn	荪	ab	abiu	也	b	bnhn	荪	ab	abiu
以	c	nywy	芭	ac	acb	以	c	nywy	芭	ac	acb
又	c	cccc	茅	ac	acbt	又	c	cccc	茅	ac	acnt
对	c	cfy	苔	ac	ackf	对	c	cfy	苔	ac	ackf
在	d	dhfd	基	ad	adwf	在	d	dhfd	苦	ad	adf
大	d	dddd	若	ad	adkf	大	d	dddd	若	ad	adkf
而	d	dmjj	斯	ad	adwr	而	d	dmjj	项	ad	admy
有	e	def	菜	ae	aesu	有	e	def	功	ae	aet
月	e	eeee	散	ae	aety	月	e	eeee	散	ae	aety
用	e	etnh	藤	ae	aeui	用	e	etnh	苏	ae	aewu
地	f	fbn	革	af	afj	地	f	fbn	革	af	afj
土	f	ffff	某	af	afsu	土	f	ffff	著	af	aftj
去	f	fcu	著	af	aftj	去	f	fcu	勒	af	afet
一	g	ggll	七	ag	agn	一	g	ggll	七	ag	agn
王	g	gggg	巧	ag	agnn	王	g	gggg	巧	ag	agnn
来	g	goi	莱	ag	agou	来	g	gusi	莱	ag	agus
上	h	hhgg	牙	ah	ahte	上	h	hhgg	牙	ah	ahte
目	h	hhhh	雅	ah	ahty	目	h	hhhh	雅	ah	ahty
点	h	hkou	臣	ah	ahnh	点	h	hkou	臣	ah	ahnh
不	i	gii	东	ai	aii	不	i	dhi	东	ai	aii
水	i	iiii	落	ai	aitk	水	i	iiii	落	ai	aitk
小	i	ihty	范	ai	aibb	小	i	ihty	范	ai	aibb
是	j	jghu	划	aj	ajh	是	j	jghu	划	aj	ajh
日	j	jjjj	莫	aj	ajdu	日	j	jjjj	莫	aj	ajdu
时	j	jfy	草	aj	ajj	时	j	jfy	草	aj	ajj
中	k	khk	或	ak	akgd	中	k	khk	或	ak	akgd
口	k	kkkk	惑	ak	akgn	口	k	kkkk	燕	ak	akuo
只	k	kwu	勤	ak	akgl	只	k	kwu	惑	ak	akgn
国	l	lgyi	功	al	aln	国	l	lgyi	苗	al	alf
田	l	llll	苏	al	alwu	田	l	llll	莲	al	alpu
回	l	lkd	莲	al	alpu	回	l	lkd	茵	al	aldu
同	m	mgkd	贡	am	amu	同	m	mgkd	贡	am	amu
山	m	mmmm	英	am	amdu	山	m	mmmm	英	am	amdu
见	m	mqb	黄	am	amwu	见	m	mqb	黄	am	amwu
民	n	nav	世	an	anv	民	n	nav	艺	an	anb
已	n	nnnn	艺	an	anb	已	n	nnnn	巨	an	and
心	n	nyny	巨	an	and	心	n	nyny	蔬	an	anhk
为	o	ylyi	蒌	ao	aovf	为	o	yeyi	蘑	ao	aosd
火	o	oooo	薮	ao	aovt	火	o	oooo	蔗	ao	aoao
数	o	ovty	芝	ap	apu	数	o	ovty	薮	ao	aovt
这	p	ypi	营	ap	apkk	这	p	ypi	芝	ap	apu
之	p	pppp	劳	ap	aplb	之	p	pppp	营	ap	apkk
家	p	peu	区	aq	aqi	家	p	pgeu	劳	ap	aper
我	q	trnt	获	aq	aqtd	我	q	trny	匹	aq	aqv
金	q	qqqq	警	aq	aqky	金	q	qqqq	获	aq	aqtd
多	q	qqu	匠	ar	ark	多	q	qqu	警	aq	aqky
的	r	rqyy	茱	ar	ariu	的	r	rqyy	区	ar	ari
白	r	rrrr	芹	ar	arj	白	r	rrrr	欧	ar	arqw
看	r	rhf	苛	as	askf	看	r	rhf	艾	ar	aru
要	s	svf	茜	as	asf	要	s	svf	莆	as	asu
木	s	ssss	蘸	as	asgo	木	s	ssss	茜	as	asf
可	s	skd	攻	at	aty	可	s	skd	苛	as	askf
和	t	tkg	医	at	atdi	和	t	tkg	攻	at	aty
禾	t	tttt	莉	at	atjj	禾	t	tttt	医	at	atdi
得	t	tjgf	燕	au	auko	得	t	tjgf	莉	at	atjj
产	u	ute	蒂	au	auph	产	u	ute	蒋	au	auqf
立	u	uuuu	蒋	au	auqf	立	u	uuuu	菩	au	aukf
道	u	uthp	切	av	avn	道	u	uthp	茨	au	auqw
发	v	ntyc	萧	av	avij	发	v	ntcy	切	av	avt
女	v	vvvv	茹	av	avkf	女	v	vvvv	萧	av	avhw
她	v	vbn	共	aw	awu	她	v	vbn	茹	av	avkf
人	w	wwww	花	aw	awxb	人	w	wwww	共	aw	awu
他	w	wbn	茶	aw	awsu	他	w	wbn	花	aw	awxb
个	w	whj	药	ax	axqy	个	w	whj	恐	aw	awyn
经	x	xcag	蕴	ax	axjl	经	x	xcag	药	ax	axqy
给	x	xwgk	莼	ax	axgn	给	x	xwgk	蕴	ax	axjl
结	x	xfkg	芳	ay	ayb	结	x	xfkg	莼	ax	axgn
主	y	ygd	荒	ay	aynq	主	y	ygd	芳	ay	ayr
言	y	yyyy	芒	ay	aynb	言	y	yyyy	蒂	ay	ayuh
说	y	yukq	陈	ba	baiy	说	y	yukq	荒	ay	aynk
			子	bb	bbbb				陈	ba	baiy
			耶	bb	bbh				子	bb	bbbb
			陬	bb	bbcy				耶	bb	bbh
			取	bc	bcy				孕	bb	bbf
			聚	bc	bcti				取	bc	bcy
			娶	bc	bcvf				聚	bc	bciu
			承	bd	bdii				娶	bc	bcvf
			随	bd	bdep				承	bd	bdii
			陌	bd	bdjg				随	bd	bdep
			阴	be	beg				颇	bd	bdmy
			阻	be	begg				阴	be	beg
			际	bf	bfiy				阻	be	begg
			陆	bf	bfmh				际	bf	bfiy
			陵	bf	bfwt				陵	bf	bfwt
			卫	bg	bgd				陡	bf	bfhy
			耳	bg	bghg				卫	bg	bgd
			隔	bg	bgkh				耳	bg	bghg
			耻	bh	bhg				陆	bg	bgbh
			陂	bh	bhcy				耻	bh	bhg
			陟	bh	bhit				陟	bh	bhht
			孙	bi	biy				蚩	bh	bhgj
			函	bi	bibk				孙	bi	biy
			逊	bi	bipi				函	bi	bibk
			阳	bj	bjg				逊	bi	bipi
			隅	bj	bjmy				阳	bj	bjg
			隰	bj	bjxo				隅	bj	bjmy
			职	bk	bkwy				隰	bj	bjxo
			亟	bk	bkcg				职	bk	bkwy
			陨	bk	bkmy				亟	bk	bkcg
			阵	bl	blh				陨	bk	bkmy
			孟	bl	blf				阵	bl	blh
			隈	bl	blge				孟	bl	blf
			出	bm	bmk				隈	bl	blge
			聘	bm	bmgn				出	bm	bmk
			祟	bm	bmfi				聘	bm	bmgn
			也	bn	bnhn				祟	bm	bmfi
			孔	bn	bnn				也	bn	bnhn
			孑	bn	bnhg				乃	bn	bnt
			耿	bo	boy				皮	bn	bnty
			辽	bp	bpk				耿	bo	boy
			院	bp	bpfq				辽	bp	bpk
			陀	bp	bpxn				院	bp	bpfq
			隐	bq	bqvn				陀	bp	bpxn
			陷	bq	bqvg				陶	bq	bqtb
			陶	bq	bqrm				隐	bq	bqvn
			孤	br	brcy				陷	bq	bqeg
			隍	br	brgg				孤	br	brcy
			阪	br	brcy				隍	br	brgg
			阿	bs	bskg				阪	br	brcy
			耵	bs	bsh				阿	bs	bskg
			降	bt	btah				耵	bs	bsh
			隆	bt	btgg				降	bt	btgh
			孜	bt	bty				隆	bt	btgg
			联	bu	budy				孜	bt	bty
			陪	bu	bukg				联	bu	budy
			障	bu	bujh				陪	bu	bukg
			限	bv	bvey				障	bu	bujh
			队	bw	bwy				限	bv	bvy
			除	bw	bwty				队	bw	bwy
			险	bw	bwgi				除	bw	bwgs
			陛	bx	bxxf				险	bw	bwgg
			防	by	byn				陛	bx	bxxf
			孩	by	bynw				及	by	byi
			陔	by	bynw				孩	by	bynw
			戏	ca	cat				防	by	byt
			劲	ca	caln				戏	ca	cay
			驱	ca	caqy				劲	ca	caet
			邓	cb	cbh				颈	ca	cadm
			预	cb	cbdm				邓	cb	cbh
			柔	cb	cbts				双	cc	ccy
			双	cc	ccy				桑	cc	cccs
			桑	cc	cccs				叠	cc	cccg
			叠	cc	cccg				参	cd	cder
			参	cd	cder				叁	cd	cddf
			骑	cd	cdsk				犄	cd	cdsk
			叁	cd	cddf				能	ce	cexx
			能	ce	cexx				通	ce	cepk
			通	ce	cepk				勇	ce	ceer
			勇	ce	celb				对	cf	cfy
			对	cf	cfy				特	cf	cffy
			圣	cf	cff				圣	cf	cff
			怼	cf	cfnu				马	cg	cgd
			骊	cg	cgmy				验	cg	cgwg
			骒	cj	cjsy				骑	cg	cgdk
			台	ck	ckf				犋	ch	chwy
			驶	ck	ckqy				台	ck	ckf
			怠	ck	cknu				怠	ck	cknu
			劝	cl	cln				迨	ck	ckpd
			骡	cl	clxi				观	cm	cmqn
			驷	cl	clg				予	cn	cnhj
			观	cm	cmqn				巴	cn	cnhn
			骋	cm	cmgn				预	cn	cnhm
			马	cn	cnng				物	cq	cqrt
			巴	cn	cnhn				欢	cq	cqwy
			厶	cn	cny				鸡	cq	cqgg
			驼	cp	cpxn				牺	cs	csg
			允	cq	cqb				矣	ct	ctdu
			欢	cq	cqwy				牧	ct	cty
			鸡	cq	cqyg				牲	ct	ctgg
			牟	cr	crhj				艰	cv	cvy
			骠	cs	csfi				犍	cv	cvgp
			矣	ct	ctdu				难	cw	cwyg
			骄	ct	ctdj				逡	cw	cwtp
			骆	ct	ctkg				皴	cw	cwtb
			骈	cu	cuah				牝	cx	cxn
			骥	cu	cuxw				叉	cy	cyi
			艰	cv	cvey				蚤	cy	cyju
			难	cw	cwyg				犒	cy	cymk
			验	cw	cwgi				左	da	daf
			驸	cw	cwfy				砸	da	damh
			驻	cy	cygg				碟	da	dans
			骗	cy	cyna				破	db	dby
			叉	cy	cyi				顾	db	dbdm
			左	da	daf				础	db	dbmh
			厮	da	dadr				友	dc	dcu
			砸	da	damh				码	dc	dcgg
			顾	db	dbdm				雄	dc	dcwy
			础	db	dbmh				大	dd	dddd
			厄	db	dbv				套	dd	ddu
			友	dc	dcu				厌	dd	ddi
			码	dc	dcg				历	de	dee
			雄	dc	dcwy				胡	de	deg
			大	dd	dddd				郁	de	debh
			套	dd	ddu				夺	df	dfu
			厉	dd	ddnv				压	df	dfyi
			胡	de	deg				奔	df	dfaj
			郁	de	debh				三	dg	dggg
			鬟	de	dele				感	dg	dgkn
			夺	df	dfu				石	dg	dgtg
			压	df	dfyi				还	dh	dhpi
			奔	df	dfaj				存	dh	dhbd
			三	dg	dggg				否	dh	dhkf
			感	dg	dgkn				砂	di	ditt
			石	dg	dgtg				硝	di	dieg
			丰	dh	dhk				泵	di	diu
			存	dh	dhbd				百	dj	djf
			破	dh	dhcy				厚	dj	djbd
			砂	di	ditt				碍	dj	djgf
			耗	di	ditn				右	dk	dkf
			耕	di	difj				夼	dk	dkj
			百	dj	djf				面	dl	dljf
			非	dj	djdd				奋	dl	dlf
			辈	dj	djdl				厍	dl	dlk
			右	dk	dkf				而	dm	dmjj
			夼	dk	dkj				布	dm	dmhj
			历	dl	dlv				页	dm	dmu
			奋	dl	dlf				成	dn	dnv
			夯	dl	dlb				尤	dn	dnyi
			面	dm	dmjd				盛	dn	dnlf
			布	dm	dmhj				矿	do	dot
			页	dm	dmu				灰	do	dou
			成	dn	dnnt				盔	do	dolf
			万	dn	dnv				达	dp	dpi
			尤	dn	dnv				牵	dp	dptg
			灰	do	dou				碗	dp	dpqb
			盔	do	dolf				克	dq	dqb
			磷	do	doqh				确	dq	dqeh
			达	dp	dpi				砍	dq	dqwy
			牵	dp	dprh				原	dr	drii
			碗	dp	dpqb				愿	dr	drin
			克	dq	dqb				爽	dr	drrr
			确	dq	dqeh				厅	ds	dsk
			爽	dq	dqqq				奇	ds	dskf
			原	dr	drii				厢	ds	dshd
			愿	dr	drin				故	dt	dty
			碑	dr	drtf				帮	dt	dtbh
			厅	ds	dsk				寿	dt	dtfu
			奇	ds	dskf				辜	du	duj
			厢	ds	dshd				碰	du	duog
			帮	dt	dtbh				磁	du	duxx
			故	dt	dty				肆	dv	dvgh
			寿	dt	dtfu				碌	dv	dviy
			磁	du	duxx				厩	dv	dvaq
			碰	du	duog				其	dw	dwu
			辜	du	duj				斯	dw	dwrh
			肆	dv	dvfh				基	dw	dwff
			碌	dv	dviy				龙	dx	dxyi
			厩	dv	dvcq				袭	dx	dxye
			春	dw	dwjf				龚	dx	dxyw
			秦	dw	dwtu				太	dy	dyi
			奉	dw	dwfh				态	dy	dynu
			龙	dx	dxv				丈	dy	dyi
			袭	dx	dxye				肛	ea	eag
			龚	dx	dxaw				毁	ea	eawc
			太	dy	dyi				腊	ea	eajg
			态	dy	dynu				服	eb	ebcy
			丈	dy	dyi				乳	eb	ebnn
			肛	ea	eag				孚	eb	ebf
			腊	ea	eajg				肥	ec	ecn
			腻	ea	eafm				胎	ec	eckg
			服	eb	ebcy				胫	ec	ecag
			乳	eb	ebnn				须	ed	edmy
			孕	eb	ebf				胧	ed	edxy
			肥	ec	ecn				腼	ed	edlf
			盈	ec	eclf				朋	ee	eeg
			胎	ec	eckg				鹏	ee	eeqg
			须	ed	edmy				胁	ee	eewy
			胧	ed	edxn				肚	ef	efg
			腼	ed	edmd				脚	ef	efcb
			朋	ee	eeg				脖	ef	efpb
			貌	ee	eerq				且	eg	egd
			鹏	ee	eeqg				县	eg	egcu
			肝	ef	efh				助	eg	eget
			脚	ef	efcb				毡	eh	ehkd
			肚	ef	efg				叟	eh	ehcu
			且	eg	egd				胪	eh	ehnt
			县	eg	egcu				膛	ei	eipf
			助	eg	egln				盥	ei	eilf
			鼐	eh	ehnn				胱	ei	eigq
			胪	eh	ehnt				胆	ej	ejgg
			胩	eh	ehhy				腥	ej	ejtg
			膛	ei	eipf				刖	ej	ejh
			尕	ei	eiu				加	ek	ekg
			胱	ei	eiqn				架	ek	eksu
			胆	ej	ejgg				贺	ek	ekmu
			腥	ej	ejtg				舆	el	elgw
			刖	ej	ejh				爵	el	elvf
			肿	ek	ekhh				舅	el	eler
			臊	ek	ekks				觅	em	emqb
			腭	ek	ekkn				腆	em	emaw
			肋	el	eln				胴	em	emgk
			爵	el	elvf				力	en	ent
			胁	el	elwy				肠	en	enrt
			肌	em	emn				鼠	en	enun
			股	em	emcy				脏	eo	eofg
			觅	em	emqb				毯	eo	eooi
			甩	en	env				腑	eo	eowf
			肠	en	enrt				边	ep	epe
			脲	en	eniy				爱	ep	epdc
			膦	eo	eoqh				受	ep	epcu
			脒	eo	eoy				胸	eq	eqrb
			爱	ep	epdc				脆	eq	eqdb
			受	ep	epcu				胞	eq	eqnn
			逐	ep	epi				貌	er	erqn
			胸	eq	eqqb				脾	er	ertf
			脆	eq	eqdb				邈	er	erqp
			胞	eq	eqnn				采	es	esu
			遥	er	ermp				彩	es	eset
			脾	er	ertf				腰	es	esvg
			繇	er	ermi				用	et	etnh
			采	es	esu				胜	et	etgg
			彩	es	eset				毛	et	etgn
			腰	es	esvg				胶	eu	eury
			用	et	etnh				脱	eu	eukq
			乃	et	etn				腾	eu	eugg
			胜	et	etgg				妥	ev	evf
			胶	eu	euqy				腿	ev	evpy
			脱	eu	eukq				貂	ev	evkg
			腾	eu	eudc				办	ew	ewi
			妥	ev	evf				脸	ew	ewgg
			腿	ev	evep				股	ew	ewcy
			舀	ev	evf				脂	ex	exjg
			脸	ew	ewgi				奚	ex	exdu
			脍	ew	ewfc				肪	ey	eyt
			胗	ew	ewet				脑	ey	eyrb
			脂	ex	exjg				脉	ey	eyni
			奚	ex	exdu				域	fa	fakg
			及	ey	eyi				载	fa	fald
			脑	ey	eybh				戴	fa	falw
			脉	ey	eyni				坡	fb	fby
			载	fa	falk				圾	fb	fbyy
			域	fa	fakg				邯	fb	fbh
			戴	fa	falw				支	fc	fcu
			地	fb	fbn				动	fc	fcet
			邗	fb	fbh				却	fc	fcbh
			支	fc	fcu				城	fd	fdnn
			动	fc	fcln				需	fd	fdmj
			却	fc	fcbh				坏	fd	fdhy
			城	fd	fdnt				协	fe	fewy
			需	fd	fdmj				霓	fe	feqb
			震	fd	fdfe				霾	fe	fejf
			圾	fe	feyy				寺	ff	ffu
			霾	fe	feef				封	ff	fffy
			埒	fe	fefy				墙	ff	ffuk
			寺	ff	ffu				十	fg	fgh
			封	ff	fffy				二	fg	fgg
			墙	ff	ffuk				未	fg	fggy
			二	fg	fgg				直	fh	fhf
			十	fg	fgh				起	fh	fhnv
			干	fg	fggh				走	fh	fhu
			直	fh	fhf				示	fi	fiu
			起	fh	fhnv				霄	fi	fief
			走	fh	fhu				霈	fi	figh
			示	fi	fiu				刊	fj	fjh
			求	fi	fiyi				进	fj	fjpk
			未	fi	fii				朝	fj	fjeg
			进	fj	fjpk				吉	fk	fkf
			朝	fj	fjeg				喜	fk	fkuk
			刊	fj	fjh				露	fk	fkhk
			吉	fk	fkf				雷	fl	flf
			喜	fk	fkuk				塄	fl	flyt
